"Geslacht";"Leeftijd";"Gestandaardiseerd inkomen";"Zorgvorm Zvw-zorgkosten";"Perioden";"Gemiddelde zorgkosten volgens de Zvw (euro)";"Personen met Zvw-zorgkosten, relatief (%)"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Ziekenhuiszorg";"2021";"    1462";"    54.6"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Ziekenhuiszorg";"2022";"    1513";"    55.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Ziekenhuiszorg";"2023*";"    1567";"    55.6"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Farmacie";"2009";"     340";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Farmacie";"2010";"     334";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Farmacie";"2011";"     321";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Farmacie";"2012";"     285";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Farmacie";"2013";"     270";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Farmacie";"2014";"     263";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Farmacie";"2015";"     275";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Farmacie";"2016";"     315";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Farmacie";"2017";"     307";"    63.8"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Farmacie";"2018";"     309";"    64.2"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Farmacie";"2019";"     319";"    63.8"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Farmacie";"2020";"     329";"    61.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Farmacie";"2021";"     327";"    62.0"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Farmacie";"2022";"     346";"    62.9"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Farmacie";"2023*";"     329";"    61.5"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Geestelijke gezondheidszorg-ZPM";"2009";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Geestelijke gezondheidszorg-ZPM";"2010";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Geestelijke gezondheidszorg-ZPM";"2011";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Geestelijke gezondheidszorg-ZPM";"2012";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Geestelijke gezondheidszorg-ZPM";"2013";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Geestelijke gezondheidszorg-ZPM";"2014";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Geestelijke gezondheidszorg-ZPM";"2015";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Geestelijke gezondheidszorg-ZPM";"2016";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Geestelijke gezondheidszorg-ZPM";"2017";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Geestelijke gezondheidszorg-ZPM";"2018";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Geestelijke gezondheidszorg-ZPM";"2019";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Geestelijke gezondheidszorg-ZPM";"2020";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Geestelijke gezondheidszorg-ZPM";"2021";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Geestelijke gezondheidszorg-ZPM";"2022";"     660";"     8.4"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Geestelijke gezondheidszorg-ZPM";"2023*";"     658";"     8.1"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Ziekenhuiszorg";"2009";"    1257";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Ziekenhuiszorg";"2010";"    1300";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Ziekenhuiszorg";"2011";"    1308";"       ."
