"Geslacht";"Leeftijd";"Gestandaardiseerd inkomen";"Zorgvorm Zvw-zorgkosten";"Perioden";"Gemiddelde zorgkosten volgens de Zvw (euro)";"Personen met Zvw-zorgkosten, relatief (%)"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Ziekenhuiszorg";"2017";"    1214";"    58.1"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Ziekenhuiszorg";"2018";"    1248";"    58.6"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Ziekenhuiszorg";"2019";"    1289";"    58.8"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Ziekenhuiszorg";"2020";"    1227";"    54.4"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Ziekenhuiszorg";"2021";"    1353";"    56.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Ziekenhuiszorg";"2022";"    1392";"    58.2"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Ziekenhuiszorg";"2023*";"    1494";"    59.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Farmacie";"2009";"     281";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Farmacie";"2010";"     284";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Farmacie";"2011";"     278";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Farmacie";"2012";"     241";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Farmacie";"2013";"     224";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Farmacie";"2014";"     222";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Farmacie";"2015";"     225";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Farmacie";"2016";"     223";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Farmacie";"2017";"     225";"    66.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Farmacie";"2018";"     229";"    66.6"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Farmacie";"2019";"     237";"    66.2"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Farmacie";"2020";"     241";"    63.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Farmacie";"2021";"     235";"    64.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Farmacie";"2022";"     250";"    65.5"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Farmacie";"2023*";"     257";"    65.9"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2009";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2010";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2011";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2012";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2013";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2014";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2015";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2016";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2017";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2018";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2019";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2020";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2021";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2022";"     156";"     4.1"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"8e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2023*";"     174";"     4.4"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Ziekenhuiszorg";"2009";"    1001";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Ziekenhuiszorg";"2010";"    1018";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Ziekenhuiszorg";"2011";"    1033";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Ziekenhuiszorg";"2012";"    1086";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Ziekenhuiszorg";"2013";"    1136";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Ziekenhuiszorg";"2014";"    1147";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Ziekenhuiszorg";"2015";"    1103";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Ziekenhuiszorg";"2016";"    1177";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Ziekenhuiszorg";"2017";"    1182";"    58.0"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Ziekenhuiszorg";"2018";"    1221";"    58.4"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Ziekenhuiszorg";"2019";"    1255";"    58.8"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Ziekenhuiszorg";"2020";"    1199";"    54.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Ziekenhuiszorg";"2021";"    1314";"    56.6"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Ziekenhuiszorg";"2022";"    1353";"    58.0"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Ziekenhuiszorg";"2023*";"    1465";"    59.2"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Farmacie";"2009";"     271";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Farmacie";"2010";"     273";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Farmacie";"2011";"     267";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Farmacie";"2012";"     234";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Farmacie";"2013";"     215";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Farmacie";"2014";"     211";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Farmacie";"2015";"     215";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Farmacie";"2016";"     215";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Farmacie";"2017";"     214";"    65.6"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Farmacie";"2018";"     219";"    66.0"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Farmacie";"2019";"     225";"    65.6"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Farmacie";"2020";"     229";"    63.0"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Farmacie";"2021";"     225";"    63.6"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Farmacie";"2022";"     240";"    64.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Farmacie";"2023*";"     247";"    65.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2009";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2010";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2011";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2012";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2013";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2014";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2015";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2016";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2017";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2018";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2019";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2020";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2021";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2022";"     141";"     3.9"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"9e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2023*";"     159";"     4.2"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Ziekenhuiszorg";"2009";"     960";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Ziekenhuiszorg";"2010";"     983";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Ziekenhuiszorg";"2011";"     996";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Ziekenhuiszorg";"2012";"    1041";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Ziekenhuiszorg";"2013";"    1078";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Ziekenhuiszorg";"2014";"    1095";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Ziekenhuiszorg";"2015";"    1055";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Ziekenhuiszorg";"2016";"    1122";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Ziekenhuiszorg";"2017";"    1135";"    57.6"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Ziekenhuiszorg";"2018";"    1173";"    57.9"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Ziekenhuiszorg";"2019";"    1207";"    58.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Ziekenhuiszorg";"2020";"    1160";"    53.8"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Ziekenhuiszorg";"2021";"    1267";"    56.2"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Ziekenhuiszorg";"2022";"    1308";"    57.4"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Ziekenhuiszorg";"2023*";"    1397";"    58.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Farmacie";"2009";"     257";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Farmacie";"2010";"     260";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Farmacie";"2011";"     253";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Farmacie";"2012";"     221";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Farmacie";"2013";"     202";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Farmacie";"2014";"     199";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Farmacie";"2015";"     200";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Farmacie";"2016";"     201";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Farmacie";"2017";"     200";"    64.4"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Farmacie";"2018";"     204";"    64.8"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Farmacie";"2019";"     212";"    64.5"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Farmacie";"2020";"     215";"    61.9"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Farmacie";"2021";"     212";"    62.5"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Farmacie";"2022";"     229";"    63.6"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Farmacie";"2023*";"     235";"    64.4"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Geestelijke gezondheidszorg-ZPM";"2009";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Geestelijke gezondheidszorg-ZPM";"2010";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Geestelijke gezondheidszorg-ZPM";"2011";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Geestelijke gezondheidszorg-ZPM";"2012";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Geestelijke gezondheidszorg-ZPM";"2013";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Geestelijke gezondheidszorg-ZPM";"2014";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Geestelijke gezondheidszorg-ZPM";"2015";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Geestelijke gezondheidszorg-ZPM";"2016";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Geestelijke gezondheidszorg-ZPM";"2017";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Geestelijke gezondheidszorg-ZPM";"2018";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Geestelijke gezondheidszorg-ZPM";"2019";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Geestelijke gezondheidszorg-ZPM";"2020";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Geestelijke gezondheidszorg-ZPM";"2021";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Geestelijke gezondheidszorg-ZPM";"2022";"     122";"     3.5"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"10e 10%-inkomensgroep (hoog inkomen)";"Geestelijke gezondheidszorg-ZPM";"2023*";"     136";"     3.8"
